country,educationalLevel,region,name,hasCCAS,about,websites,websitesLabel,adoptionYear,mechanisms,listLength,participatingInstitutions,priorities,latitude,longitude,gobVerified
AFG,tertiary,South Asia,Afghanistan,1.0,"Afghanistan's coordinated system for tertiary education covers the entire country and includes public and private universities. The Kankor exam, held annually, determines admission. Applicants can choose five fields of study. Students are assigned based on their scores, with priority given to those who select the respective institution as first priority.",,,1980s,[boston],[5],[all],[academic],33.7680065,66.2385139,0
AGO,secondary,Sub-Saharan Africa,Angola,0.0,This country lacks a coordinated system.,,,,,,,,-11.8775768,17.5691241,0
ALB,tertiary,Europe & central Asia,Albania,0.0,This country lacks a coordinated system.,,,,,,,,1.2315264,-75.89204331320687,0
ARE,tertiary,Middle East & North Africa,United Arab Emirates,1.0,The National Admissions and Placement Office is responsible for processing the applications for admission from students who wish to either receive a scholarship to study abroad or attend a public institution. The applicant must sit for the Emirates standardized test and achieve the score in the specified subjects that meets the eligibility criteria in the desired institution.,[https://www.moe.gov.ae/En/EServices/ServiceCard/pages/RegistrationPublic.aspx],[moe.gov.ae/En/EServices/ServiceCard/pages/RegistrationPublic.aspx],1996.0,,[3],[public],[academic],24.0002488,53.9994829,0
ARG,primary,LAC,Argentina,1.0,"In Argentina, a coordinated system is implemented independently in each city for public primary and secondary education. The systems prioritize students based on staff children, siblings, proximity, and parental work. Assignments follow preference order, and in case of ties, a lottery determines admissions. The systems allow applicants to apply to between 2 and 5 institutions.","[https://www.buenosaires.gob.ar/educacion/estudiantes,https://cidi.cba.gov.ar/portal-publico/,inscripciones.mec.gob.ar,https://gobiernodigital.chaco.gob.ar/login,https://educacion.rionegro.gov.ar/]","[buenosaires.gob.ar/educacion/estudiantes,cidi.cba.gov.ar/portal-publico/,inscripciones.mec.gob.ar,gobiernodigital.chaco.gob.ar/login,educacion.rionegro.gov.ar/]",2013.0,[boston],"[8, 4, 3, 5, 2]","[all,public]","[family,academic,distance,sen,ses]",-34.9964963,-64.9672817,0
ARM,primary,Europe & central Asia,Armenia,0.0,This country lacks a coordinated system.,,,,,,,,4.536307,-75.6723751,0
AUS,primary,East Asia & Pacific,Australia,1.0,"The Australian online enrollment system encompasses both primary and secondary schools, functioning at the regional level across two of the seven regions. Parents can apply to up to three schools, guaranteeing placement in either a local public school or a specifically designated one within a shared zone.","[https://forms.act.gov.au/smartforms/servlet/SmartForm.html?formCode=1087,https://enrol.ntschools.net/]","[forms.act.gov.au/smartforms/servlet/SmartForm.html?formCode=1087,enrol.ntschools.net/]",2015.0,,[3],"[all,public]","[family,distance]",-24.7761086,134.755,0
AUT,secondary,Europe & central Asia,Austria,0.0,This country lacks a coordinated system.,,,,,,,,47.59397,14.12456,0
AZE,tertiary,Europe & central Asia,Azerbaijan,1.0,"Azerbaijan conducts coordinated exams to determine higher education admission. In the first stage, applicants take tests on Azerbaijani or Russian languages, a foreign language, and mathematics. Majors are grouped into five categories.",[https://dim.gov.az/],[dim.gov.az/],,,[15],[all],[academic],40.3936294,47.7872508,0
BDI,tertiary,Sub-Saharan Africa,Burundi,0.0,This country lacks a coordinated system.,,,,,,,,-3.426449,29.9324519,0
BEL,tertiary,Europe & central Asia,Belgium,0.0,This country lacks a coordinated system.,,,,,,,,50.6402809,4.6667145,0
BEN,tertiary,Sub-Saharan Africa,Benin,1.0,"Benin's coordinated system for public tertiary education operates nationwide. The ranking for the assignment process considers chosen courses of study, university allowance quotas (scholarships, aids), and fully paid titles. After scholarships, partially and fully paid titles are allocated.",,,2007.0,[da],[3],[public],[academic],9.5293472,2.2584408,0
BFA,primary,Sub-Saharan Africa,Burkina Faso,0.0,This country lacks a coordinated system.,,,,,,,,12.0753083,-1.6880314,0
BGD,primary,South Asia,Bangladesh,0.0,This country lacks a coordinated system.,,,,,,,,-0.2864982,36.0514231,0
BGR,tertiary,Europe & central Asia,Bulgaria,0.0,This country lacks a coordinated system.,,,,,,,,42.6073975,25.4856617,0
BHS,secondary,LAC,Bahamas,,,,,,,,,,24.7736546,-78.0000547,0
BIH,tertiary,Europe & central Asia,Bosnia and Herzegovina,0.0,This country lacks a coordinated system.,,,,,,,,44.3053476,17.5961467,0
BLR,primary,Europe & central Asia,Belarus,0.0,This country lacks a coordinated system.,,,,,,,,53.4250605,27.6971358,0
BLZ,primary,LAC,Belize,,,,,,,,,,17.1204943,-88.6859028,0
BOL,secondary,LAC,Bolivia,0.0,This country lacks a coordinated system.,,,,,,,,-17.0568696,-64.9912286,0
BRA,tertiary,LAC,Brazil,1.0,"Brazil implemented the Unique Selection System (SISU) in 2010 to coordinate college applications for federal public universities. Managed by the Ministry of Education, it allocates undergraduate vacancies based on national high school exam scores. Students select one program daily and cut-off scores are determined. On the fourth day, students are matched to programs based on rankings and scores.",[https://sisu.mec.gov.br/#/como-se-inscrever ],[sisu.mec.gov.br/#/como-se-inscrever ],2010.0,[da],[2],[public],"[academic,ses]",-10.3333333,-53.2,0
BRN,primary,East Asia & Pacific,Brunei,,,,,,,,,,4.4137155,114.5653908,0
BTN,primary,South Asia,Bhutan,,,,,,,,,,27.549511,90.5119273,0
BWA,primary,Sub-Saharan Africa,Botswana,0.0,This country lacks a coordinated system.,,,,,,,,-23.1681782,24.5928742,0
CAF,secondary,Sub-Saharan Africa,Central African Republic,0.0,This country lacks a coordinated system.,,,,,,,,7.0323598,19.9981227,0
CAN,tertiary,North America,Canada,0.0,This country lacks a coordinated system.,,,,,,,,61.0666922,-107.991707,0
CHE,primary,Europe & central Asia,Switzerland,0.0,This country lacks a coordinated system.,,,,,,,,46.7985624,8.2319736,0
CHL,primary,LAC,Chile,1.0,"Chile's coordinated system was gradually adopted by some regions, incorporating the entire country in 2020. The system prioritizes siblings, vulnerable students (through quotas), school staff's children and former students. It has two phases, and if students are not assigned to any preference in the second phase they are assigned to a nearby school with places. Lotteries are used to break ties.",[www.sistemadeadmisionescolar.cl ],[sistemadeadmisionescolar.cl ],2016.0,[da],[Unlimited],[other],"[family,ses]",-31.7613365,-71.3187697,0
CHN,primary,East Asia & Pacific,China,1.0,"The Chinese primary school admission system is largely decentralized into administrative regions and cities for public and private schools. The mechanism, for the most part, consists of randomly allocating vacancies. Common priority criteria include children of martyrs and children of active military personnel.","[https://jyj.anyang.gov.cn/2022/09-06/2358271.html,https://rmh.pdnews.cn/Pc/ArtInfoApi/article?id=29776185,https://www.xsc.cn/news/202208/44940.html,www.btjy.net,https://yjrx.bjedu.cn,https://ahrx.ahjygl.gov.cn/portal,http://jyj.changchun.gov.cn,https://jyj.changde.gov.cn,https://rxbm.csedu.gov.cn,http://changzhi.bendibao.com/live/202281/2723.shtm,www.czedu.gov.cn,https://mp.weixin.qq.com/s/ByzckwK33CgQalTq3_o6_A,http://ywzsrx.cdzk.org/,www.cqywjybm.com,http://www.zjzwfw.gov.cn/,http://dl.bendibao.com/live/201865/56502.shtm,https://www.sohu.com/a/475973576_99962390,http://ty.bendibao.com/edu/2021729/54163.shtm,https://zs.dg.cn,https://mbzs.edu.foshan.gov.cn/,http://fushun.bendibao.com/live/20141219/525.shtm,http://jyj.fuzhou.gov.cn/,ttp://gl.bendibao.com/edu/2022530/9548.shtm,http://yjrx.gyzkzx.cn,http://haikou.bendibao.com/edu/2021715/50703.shtm ,http://hdzs.hdjy.net.cn,https://xxbm.hzedu.gov.cn/,http://heb.bendibao.com/news/202063/54996.shtm#:~:text=公办小学报名：%206月15-23日，在“哈尔滨市义务教育招生入学服务系统”进行网上报名、信息采集%E3%80%82,6月28日-7月9日，进行报名信息核验%E3%80%82%207月20-22日%2C完成公办小学录取确认工作，并陆续发放公办小学入学告知信息%E3%80%82,http://zsks.hhyedu.com.cn/,http://hzjy.heze.gov.cn,http://hu.bendibao.com/news/2021429/44535.shtm,http://jmzsbm.jiangmen.cn/,http://rx.kllfw.com/home/home.aspx,http://jzth5.0416city.com/zx/index.html,http://kf.bendibao.com/edu/2022621/8931.shtm ,https://www.kmyzw.cn,https://rx.ksedu.cn,http://jyj.lanzhou.gov.cn ,http://lc.bendibao.com/edu/2022628/6663.shtm,http://linyi.bendibao.com/edu/2022723/13957.shtm,http://jyj.liuzhou.gov.cn/,http://ywzs.jyt.henan.gov.cn/,http://luzhou.bendibao.com/edu/202257/5280.shtm,myjkq.scrxbm.com,http://nc.bendibao.com/edu/2022517/72584.shtm,http://jytyj.nanchong.gov.cn/,http://edu.nanjing.gov.cn/,http://nn.bendibao.com/edu/2022524/61671.shtm,http://xsbm.ntjy.net/BM/DLindex,https://pds.gov.cn/,http://www.ptjy.com/,http://qhd.bendibao.com/edu/2022712/5251.shtm,https://qqhr.zwfw.hlj.gov.cn/,http://czxt.qzedu.cn/,zwdt.sh.gov.cn,https://www.henandaily.cn/content/2021/0909/320440.html,http://jyj.shenyang.gov.cn/yshj/ph/zcjd/202301/t20230110_4367034.html,http://sjzjyj.sjz.gov.cn/,http://jyj.taian.gov.cn/col/col47666/index.html,http://jiaoyuju.tangshan.gov.cn,http://yjrx.tj.edu.cn/,http://edu.qingdao.gov.cn,http://baomingtz.hongshanjy.cn/index.php?upcache=1,http://wf.bendibao.com/edu/202178/13772.shtm,http://weihai.bendibao.com/edu/2021616/3460.shtm,http://zsrx.whjy.net,http://ywjy.wxeic.cn,https://www.xaywjy.com/stu/index,http://jyj.xianyang.gov.cn,http://xt.bendibao.com/edu/2022718/6542.shtm,http://ywzs.jyt.henan.gov.cn,http://zsbm.xze.cn/,http://yt.bendibao.com/news/201982/45077.shtm,http://yichang.bendibao.com/news/2021616/11184.shtm,http://yc.bendibao.com/news/202177/41224.shtm,http://yy.bendibao.com/edu/2021726/7427.shtm,http://zjk.bendibao.com/live/2015423/279.shtm,https://gdzjedu.buyihui.com.cn/,http://www.zsedu.cn/,http://jyj.zhuzhou.gov.cn,http://zunyi.bendibao.com/live/xiaoxuebanshi/]","[jyj.anyang.gov.cn/2022/09-06/2358271.html,rmh.pdnews.cn/Pc/ArtInfoApi/article?id=29776185,xsc.cn/news/202208/44940.html,btjy.net,yjrx.bjedu.cn,ahrx.ahjygl.gov.cn/portal,jyj.changchun.gov.cn,jyj.changde.gov.cn,rxbm.csedu.gov.cn,changzhi.bendibao.com/live/202281/2723.shtm,czedu.gov.cn,mp.weixin.qq.com/s/ByzckwK33CgQalTq3_o6_A,ywzsrx.cdzk.org/,cqywjybm.com,zjzwfw.gov.cn/,dl.bendibao.com/live/201865/56502.shtm,sohu.com/a/475973576_99962390,ty.bendibao.com/edu/2021729/54163.shtm,zs.dg.cn,mbzs.edu.foshan.gov.cn/,fushun.bendibao.com/live/20141219/525.shtm,jyj.fuzhou.gov.cn/,ttp://gl.bendibao.com/edu/2022530/9548.shtm,yjrx.gyzkzx.cn,haikou.bendibao.com/edu/2021715/50703.shtm ,hdzs.hdjy.net.cn,xxbm.hzedu.gov.cn/,heb.bendibao.com/news/202063/54996.shtm#:~:text=公办小学报名：%206月15-23日，在“哈尔滨市义务教育招生入学服务系统”进行网上报名、信息采集%E3%80%82,6月28日-7月9日，进行报名信息核验%E3%80%82%207月20-22日%2C完成公办小学录取确认工作，并陆续发放公办小学入学告知信息%E3%80%82,zsks.hhyedu.com.cn/,hzjy.heze.gov.cn,hu.bendibao.com/news/2021429/44535.shtm,jmzsbm.jiangmen.cn/,rx.kllfw.com/home/home.aspx,jzth5.0416city.com/zx/index.html,kf.bendibao.com/edu/2022621/8931.shtm ,kmyzw.cn,rx.ksedu.cn,jyj.lanzhou.gov.cn ,lc.bendibao.com/edu/2022628/6663.shtm,linyi.bendibao.com/edu/2022723/13957.shtm,jyj.liuzhou.gov.cn/,ywzs.jyt.henan.gov.cn/,luzhou.bendibao.com/edu/202257/5280.shtm,myjkq.scrxbm.com,nc.bendibao.com/edu/2022517/72584.shtm,jytyj.nanchong.gov.cn/,edu.nanjing.gov.cn/,nn.bendibao.com/edu/2022524/61671.shtm,xsbm.ntjy.net/BM/DLindex,pds.gov.cn/,ptjy.com/,qhd.bendibao.com/edu/2022712/5251.shtm,qqhr.zwfw.hlj.gov.cn/,czxt.qzedu.cn/,zwdt.sh.gov.cn,henandaily.cn/content/2021/0909/320440.html,jyj.shenyang.gov.cn/yshj/ph/zcjd/202301/t20230110_4367034.html,sjzjyj.sjz.gov.cn/,jyj.taian.gov.cn/col/col47666/index.html,jiaoyuju.tangshan.gov.cn,yjrx.tj.edu.cn/,edu.qingdao.gov.cn,baomingtz.hongshanjy.cn/index.php?upcache=1,wf.bendibao.com/edu/202178/13772.shtm,weihai.bendibao.com/edu/2021616/3460.shtm,zsrx.whjy.net,ywjy.wxeic.cn,xaywjy.com/stu/index,jyj.xianyang.gov.cn,xt.bendibao.com/edu/2022718/6542.shtm,ywzs.jyt.henan.gov.cn,zsbm.xze.cn/,yt.bendibao.com/news/201982/45077.shtm,yichang.bendibao.com/news/2021616/11184.shtm,yc.bendibao.com/news/202177/41224.shtm,yy.bendibao.com/edu/2021726/7427.shtm,zjk.bendibao.com/live/2015423/279.shtm,gdzjedu.buyihui.com.cn/,zsedu.cn/,jyj.zhuzhou.gov.cn,zunyi.bendibao.com/live/xiaoxuebanshi/]",2014.0,"[boston,sd]","[3, 1, 4, 2]","[all,private]","[family,distance]",35.000074,104.999927,0
CIV,secondary,Sub-Saharan Africa,Cote d'Ivoire,1.0,"Cote d'Ivoire has a coordinated system, managed by the National Orientation Commission (CNO), for secondary education level across five regions (Abidjan, Aboisso, Korhogo, Soubré, Yamoussoukro). The assignment is based on choice order, academic performance, and proximity. Places are reserved for low-income students.",,,,,,[all],"[academic,distance,ses]",7.9897371,-5.5679458,0
CMR,primary,Sub-Saharan Africa,Cameroon,0.0,This country lacks a coordinated system.,,,,,,,,4.6125522,13.1535811,0
COD,primary,Sub-Saharan Africa,"Congo, Dem. Rep.",0.0,This country lacks a coordinated system.,,,,,,,,-4.038333,21.758664,0
COG,secondary,Sub-Saharan Africa,"Congo, Rep.",0.0,This country lacks a coordinated system.,,,,,,,,-0.228021,15.827659,0
COL,tertiary,LAC,Colombia,0.0,This country lacks a coordinated system.,,,,,,,,4.099917,-72.9088133,0
CRI,primary,LAC,Costa Rica,0.0,This country lacks a coordinated system.,,,,,,,,10.2735633,-84.0739102,0
CUB,tertiary,LAC,Cuba,1.0,"Cuba has two coordinated systems (universities and technical programs). For university programs, each student may apply to up to 10, and it is the value of the ranking (from the scale value) that is taken into account, not the order in the application. For technical programs, only when there are more applicants than places, some indicator, requirement or instrument is applied to order applicants.",,,,[da],[10],[all],[academic],23.0131338,-80.8328748,0
CYP,tertiary,Middle East & North Africa,Cyprus,,,,,,,,,,34.9174159,32.889902651331866,0
CZE,secondary,Europe & central Asia,Czech Republic,0.0,This country lacks a coordinated system.,,,,,,,,49.7439047,15.3381061,0
DEU,tertiary,Europe & central Asia,Germany,1.0,"Germany operates two admission systems: one for medicine and related programs since 1972, and another for volunteer universities since 2012. The medical system has a two-round process, using a Boston mechanism in the first round and DA in the second. In contrast, the volunteer system comprises three rounds: decoordinated, DA-based, and a final round with a serial dictatorship mechanism.",[https://www.hochschulstart.de/startseite ],[hochschulstart.de/startseite ],1972.0,[da],"[6, 12]","[public,other]",[academic],51.1638175,10.4478313,0
DJI,tertiary,Sub-Saharan Africa,Djibouti,,,,,,,,,,11.8145966,42.8453061,0
DNK,secondary,Europe & central Asia,Denmark,0.0,This country lacks a coordinated system.,,,,,,,,55.670249,10.3333283,0
DOM,primary,LAC,Dominican Republic,0.0,This country lacks a coordinated system.,,,,,,,,19.0974031,-70.3028026,0
DZA,secondary,Middle East & North Africa,Algeria,0.0,This country lacks a coordinated system.,,,,,,,,28.0000272,2.9999825,0
ECU,secondary,LAC,Ecuador,1.0,"Ecuador has a coordinated system for primary and secondary education. Flag bearers and applicants with special abilities will be guaranteed a place in the educational institution of their choice. For the remaining vacancies, priority will be given to students living in school area. However, if the demand exceeds the capacity, only those students with the best grades will be selected.",[https://juntos.educacion.gob.ec],[juntos.educacion.gob.ec],2021.0,,,[public],[distance],-1.3397668,-79.3666965,0
EGY,secondary,Middle East & North Africa,Egypt,0.0,This country lacks a coordinated system.,,,,,,,,26.2540493,29.2675469,0
ERI,primary,Sub-Saharan Africa,Eritrea,0.0,This country lacks a coordinated system.,,,,,,,,15.9500319,37.9999668,0
ESP,primary,Europe & central Asia,Spain,1.0,"In Spain, the assignment of students to public and private subsidized schools is governed by the Immediate Acceptance mechanism. Features common to all regions include the possibility for students to choose several schools and the priority given to factors such as siblings, proximity and family situation. Tie-breaking criteria such as lotteries are often employed.","[https://educacio.gencat.cat/ca/inici/index.html,https://sede.educacion.gob.es/sede/login/inicio.jjsp?idConvocatoria=1680,https://raices.madrid.org/secretariavirtual/,https://sede.xunta.gal/detalle-procedemento?codtram=ED550A&ano=2022&numpub=1&lang=es,https://www.juntadeandalucia.es/educacion/secretariavirtual/,https://itaca3.edu.gva.es/jwt/#/home,https://educa.aragon.es/admision ]","[educacio.gencat.cat/ca/inici/index.html,sede.educacion.gob.es/sede/login/inicio.jjsp?idConvocatoria=1680,raices.madrid.org/secretariavirtual/,sede.xunta.gal/detalle-procedemento?codtram=ED550A&ano=2022&numpub=1&lang=es,juntadeandalucia.es/educacion/secretariavirtual/,itaca3.edu.gva.es/jwt/#/home,educa.aragon.es/admision ]",1980s,[boston],"[6, 10, 5]","[all,other]","[family,distance,sen,ses]",39.3260685,-4.8379791,0
EST,tertiary,Europe & central Asia,Estonia,,,,,,,,,,58.7523778,25.3319078,0
ETH,tertiary,Sub-Saharan Africa,Ethiopia,1.0,"Ethiopia has a coordinated system for tertiary education and it includes all institutions. Students must pass the secondary school leaving exam with a score above 50%, meet annual cut-off points set by the Ministry of Education, and take aptitude tests for successful placements.",,,2003.0,,,[all],"[academic,sen,gender]",10.2116702,38.6521203,0
